symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2017-09-14 00:00:00+00:00,158.28,159.4,158.09,158.99,23073646,37.6596857923,37.9261682796,37.6144789418,37.8286166548,92294584,0.0,1.0
AAPL,2017-09-15 00:00:00+00:00,159.88,160.97,158.0,158.47,48203642,38.0403750599,38.2997196234,37.5930651705,37.7048926429,192814568,0.0,1.0
AAPL,2017-09-18 00:00:00+00:00,158.67,160.5,157.995,160.11,27939718,37.7524788013,38.1878921511,37.5918755166,38.0950991421,111758872,0.0,1.0
AAPL,2017-09-19 00:00:00+00:00,158.73,159.77,158.44,159.51,20347352,37.7667546488,38.0142026727,37.6977547191,37.9523406668,81389408,0.0,1.0
AAPL,2017-09-20 00:00:00+00:00,156.07,158.26,153.83,157.9,51693239,37.1338587415,37.6549271765,36.600893767,37.5692720913,206772956,0.0,1.0
AAPL,2017-09-21 00:00:00+00:00,153.39,155.8,152.75,155.8,36643382,36.4962042184,37.0696174276,36.3439285114,37.0696174276,146573528,0.0,1.0
AAPL,2017-09-22 00:00:00+00:00,151.89,152.27,150.56,152.02,46114424,36.1393080301,36.2297217311,35.8228600764,36.1702390331,184457696,0.0,1.0
AAPL,2017-09-25 00:00:00+00:00,150.55,151.83,149.16,149.99,43922334,35.8204807685,36.1250321825,35.4897569673,35.6872395248,175689336,0.0,1.0
AAPL,2017-09-26 00:00:00+00:00,153.14,153.92,151.69,151.78,35470985,36.4367215203,36.6223075383,36.0917218716,36.1131356429,141883940,0.0,1.0
AAPL,2017-09-27 00:00:00+00:00,154.23,154.7189,153.54,153.8,24959552,36.6960660839,36.8123904482,36.5318938372,36.5937558432,99838208,0.0,1.0
AAPL,2017-09-28 00:00:00+00:00,153.28,154.28,152.7,153.89,21896592,36.4700318312,36.7079626235,36.3320319718,36.6151696145,87586368,0.0,1.0
AAPL,2017-09-29 00:00:00+00:00,154.12,154.13,152.0,153.21,25856530,36.6698936967,36.6722730046,36.1654804172,36.4533766758,103426120,0.0,1.0
AAPL,2017-10-02 00:00:00+00:00,153.81,154.45,152.72,154.26,18524860,36.5961351511,36.7484108581,36.3367905876,36.7032040076,74099440,0.0,1.0
AAPL,2017-10-03 00:00:00+00:00,154.48,155.09,153.91,154.01,16146388,36.7555487819,36.9006865652,36.6199282303,36.6437213096,64585552,0.0,1.0
AAPL,2017-10-04 00:00:00+00:00,153.48,153.86,152.46,153.63,19844177,36.5176179897,36.6080316907,36.2749285816,36.5533076085,79376708,0.0,1.0
AAPL,2017-10-05 00:00:00+00:00,155.39,155.44,154.05,154.18,21032800,36.9720658028,36.9839623424,36.6532385413,36.6841695442,84131200,0.0,1.0
AAPL,2017-10-06 00:00:00+00:00,155.3,155.49,154.56,154.97,16423749,36.9506520315,36.9958588821,36.7745832453,36.8721348701,65694996,0.0,1.0
AAPL,2017-10-09 00:00:00+00:00,155.84,156.73,155.485,155.81,16200129,37.0791346593,37.2908930644,36.9946692281,37.0719967356,64800516,0.0,1.0
AAPL,2017-10-10 00:00:00+00:00,155.9,158.0,155.1,156.055,15456331,37.0934105069,37.5930651705,36.9030658731,37.1302897797,61825324,0.0,1.0
AAPL,2017-10-11 00:00:00+00:00,156.55,156.98,155.75,155.97,16607693,37.2480655218,37.3503757625,37.057720888,37.1100656623,66430772,0.0,1.0
AAPL,2017-10-12 00:00:00+00:00,156.0,157.37,155.7299,156.35,16045720,37.1172035861,37.4431687714,37.0529384791,37.2004793634,64182880,0.0,1.0
AAPL,2017-10-13 00:00:00+00:00,156.99,157.28,156.41,156.73,16287608,37.3527550704,37.4217550001,37.2147552109,37.2908930644,65150432,0.0,1.0
AAPL,2017-10-16 00:00:00+00:00,159.88,160.0,157.65,157.9,23894630,38.0403750599,38.068926755,37.5097893932,37.5692720913,95578520,0.0,1.0
AAPL,2017-10-17 00:00:00+00:00,160.47,160.87,159.23,159.78,18816438,38.1807542273,38.2759265442,37.8857200449,38.0165819807,75265752,0.0,1.0
